epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,711.2,1.06302,0.56534,0.89971,0.96503,0.95653,0.98723,0.74909,0.94323,0.44982,0.90068,0.000208058,0.000208058,0.000208058
2,1362.94,1.09135,0.59419,0.90519,0.96466,0.94897,0.98468,0.73529,0.97123,0.47787,0.90577,0.000408147,0.000408147,0.000408147
3,2040.65,1.11338,0.60962,0.90996,0.95122,0.94267,0.98122,0.73029,0.98459,0.4958,0.91245,0.000599985,0.000599985,0.000599985
4,2760.71,1.1179,0.61476,0.91158,0.95993,0.94279,0.98342,0.73822,0.97092,0.48551,0.91167,0.000587875,0.000587875,0.000587875
5,3372.28,1.11751,0.61163,0.90914,0.95895,0.94432,0.98312,0.74011,0.971,0.48059,0.9117,0.0005755,0.0005755,0.0005755
6,3981.76,1.12543,0.62412,0.91219,0.95619,0.94781,0.98403,0.73606,0.98334,0.49039,0.91414,0.000563125,0.000563125,0.000563125
7,4612.7,1.11708,0.62098,0.90856,0.95269,0.94797,0.9827,0.74165,0.97337,0.49113,0.90918,0.00055075,0.00055075,0.00055075
8,5217.05,1.11825,0.61626,0.90975,0.953,0.94224,0.98279,0.73513,0.9787,0.49467,0.91047,0.000538375,0.000538375,0.000538375
9,5823.07,1.11936,0.61019,0.91019,0.95638,0.9439,0.98356,0.74094,0.97183,0.49223,0.90897,0.000526,0.000526,0.000526
10,6431.61,1.11153,0.61064,0.90926,0.95795,0.9486,0.98489,0.74496,0.96866,0.4787,0.9098,0.000513625,0.000513625,0.000513625
11,7026.02,1.11813,0.61308,0.90957,0.95516,0.95005,0.98457,0.74702,0.95717,0.48523,0.91099,0.00050125,0.00050125,0.00050125
12,7634.83,1.10963,0.60222,0.90855,0.96619,0.94566,0.9848,0.73317,0.98816,0.4771,0.91135,0.000488875,0.000488875,0.000488875
