epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.8075,1.45232,3.34628,1.03721,0.40469,0.66758,0.51442,0.24125,1.63972,2.66733,1.27302,0.000553593,0.000553593,0.000553593
2,111.449,1.39187,2.55657,1.08761,0.53539,0.72054,0.613,0.30123,1.66246,2.45364,1.40499,0.00109828,0.00109828,0.00109828
3,164.362,1.35216,2.33694,1.10033,0.44112,0.83786,0.50787,0.27029,1.60129,2.35845,1.37109,0.00163196,0.00163196,0.00163196
4,219.912,1.46574,2.30899,1.14995,0.47179,0.70336,0.54436,0.26463,1.63096,2.23662,1.43021,0.00161749,0.00161749,0.00161749
5,281.392,1.32068,2.15856,1.06621,0.51123,0.93253,0.58975,0.29698,1.55286,2.19704,1.35393,0.00160099,0.00160099,0.00160099
6,354.996,1.36787,2.01954,1.10533,0.54743,0.86425,0.59747,0.31198,1.6796,2.18658,1.3665,0.00158448,0.00158448,0.00158448
7,471.384,1.31788,1.90617,1.05141,0.49703,0.86532,0.56263,0.30978,1.49719,2.01814,1.33733,0.00156798,0.00156798,0.00156798
8,644.132,1.39059,1.75036,1.13953,0.65305,0.68182,0.68011,0.38617,1.50254,1.90118,1.3698,0.00155148,0.00155148,0.00155148
9,809.451,1.392,1.70204,1.15149,0.58499,0.78564,0.67707,0.38853,1.44061,1.6988,1.28074,0.00153497,0.00153497,0.00153497
10,950.878,1.26627,1.62761,1.08573,0.58808,0.94444,0.64811,0.37256,1.47448,1.71432,1.34187,0.00151847,0.00151847,0.00151847
11,1094.16,1.23155,1.59381,1.08793,0.60429,0.91414,0.68618,0.39533,1.44883,1.66676,1.29087,0.00150197,0.00150197,0.00150197
12,1175.32,1.29663,1.58154,1.09768,0.57266,0.9332,0.73269,0.42559,1.47194,1.78364,1.30551,0.00148546,0.00148546,0.00148546
13,1260.57,1.30712,1.53552,1.08256,0.61706,0.80976,0.62392,0.36522,1.35333,1.74541,1.23417,0.00146896,0.00146896,0.00146896
14,1377.62,1.25661,1.4766,1.07646,0.60537,0.91077,0.66365,0.40419,1.32248,1.85042,1.23379,0.00145246,0.00145246,0.00145246
15,1476.22,1.23488,1.399,1.05635,0.71905,0.86195,0.76296,0.46408,1.39351,1.55485,1.27298,0.00143595,0.00143595,0.00143595
16,1556.85,1.20304,1.27829,1.03428,0.75776,0.90795,0.77427,0.45848,1.39366,1.91179,1.25688,0.00141945,0.00141945,0.00141945
17,1642.05,1.21096,1.28314,1.07211,0.79328,0.88932,0.8439,0.5051,1.36699,1.38038,1.26018,0.00140295,0.00140295,0.00140295
18,1717.63,1.23869,1.25819,1.09409,0.85802,0.92929,0.90615,0.53478,1.37787,1.32816,1.31183,0.00138644,0.00138644,0.00138644
19,1815.44,1.1585,1.19731,1.00139,0.80153,0.86677,0.86207,0.51571,1.36952,1.19018,1.2496,0.00136994,0.00136994,0.00136994
20,1898.06,1.19413,1.17561,1.04748,0.7018,0.8927,0.75561,0.46254,1.32704,1.79578,1.22543,0.00135344,0.00135344,0.00135344
21,1977.26,1.14184,1.15302,1.01495,0.76977,0.82155,0.86387,0.54348,1.25428,1.13383,1.19427,0.00133693,0.00133693,0.00133693
22,2061,1.20327,1.16386,1.05817,0.76915,0.90572,0.88774,0.56193,1.29601,1.1941,1.21091,0.00132043,0.00132043,0.00132043
23,2145.36,1.16496,1.12476,1.02237,0.79989,0.93588,0.84975,0.52645,1.33716,1.54046,1.2361,0.00130393,0.00130393,0.00130393
24,2230.44,1.17616,1.0606,1.0549,0.84393,0.92929,0.8839,0.56292,1.28878,0.99332,1.21624,0.00128742,0.00128742,0.00128742
25,2306.81,1.0762,1.00368,0.97552,0.82297,0.94781,0.88479,0.5535,1.30302,0.96579,1.26131,0.00127092,0.00127092,0.00127092
26,2400.35,1.17086,0.99854,1.05583,0.8077,0.95825,0.89372,0.55636,1.33306,0.99421,1.28208,0.00125442,0.00125442,0.00125442
27,2468.24,1.10644,0.9851,1.00615,0.84977,0.91751,0.87082,0.55471,1.2419,1.11333,1.17705,0.00123791,0.00123791,0.00123791
28,2517.74,1.13454,1.01111,1.01365,0.85901,0.9148,0.87006,0.56297,1.27518,0.98308,1.19861,0.00122141,0.00122141,0.00122141
29,2571.09,1.14419,0.98787,1.00924,0.87176,0.95118,0.88375,0.56197,1.28066,1.15179,1.20551,0.00120491,0.00120491,0.00120491
30,2623.63,1.07895,0.95787,0.98727,0.81913,0.9117,0.85299,0.56097,1.2474,0.93899,1.20376,0.0011884,0.0011884,0.0011884
31,2674.94,1.08256,0.95509,0.98515,0.76741,0.92825,0.84902,0.55102,1.26569,1.16809,1.20375,0.0011719,0.0011719,0.0011719
32,2725.14,1.11234,0.93525,1.00909,0.81039,0.94178,0.82718,0.53684,1.31999,1.10859,1.23063,0.0011554,0.0011554,0.0011554
33,2775.81,1.12451,0.93316,1.00887,0.79511,0.92382,0.8669,0.55766,1.30282,1.11813,1.25569,0.00113889,0.00113889,0.00113889
34,2826.14,1.03466,0.84562,0.93741,0.83078,0.9697,0.85764,0.53942,1.25323,1.19451,1.20166,0.00112239,0.00112239,0.00112239
35,2878.97,1.07939,0.87596,1.00199,0.94488,0.95073,0.94372,0.59175,1.32033,0.92871,1.21727,0.00110589,0.00110589,0.00110589
36,2928.72,1.08503,0.82639,0.96462,0.88047,0.99797,0.93825,0.59411,1.29534,0.93494,1.20501,0.00108938,0.00108938,0.00108938
37,2979.77,1.1301,0.88169,1.02656,0.92737,0.95947,0.92431,0.58903,1.27626,1.32422,1.19732,0.00107288,0.00107288,0.00107288
38,3031.02,1.06827,0.85319,0.99357,0.889,0.94781,0.92182,0.59061,1.29829,1.05254,1.17498,0.00105638,0.00105638,0.00105638
39,3080.97,1.13991,0.84343,1.01666,0.91322,0.94781,0.9397,0.5957,1.25484,0.92232,1.17587,0.00103987,0.00103987,0.00103987
40,3131.28,1.09988,0.78649,0.96637,0.91583,0.94657,0.94514,0.60392,1.22681,0.84094,1.16231,0.00102337,0.00102337,0.00102337
41,3183.85,1.13078,0.86081,0.99192,0.84764,0.94754,0.8655,0.51692,1.35088,1.07853,1.21531,0.00100687,0.00100687,0.00100687
42,3232.86,1.02424,0.82375,0.96189,0.8347,0.92807,0.8624,0.57012,1.23542,1.04396,1.16603,0.000990365,0.000990365,0.000990365
43,3282.86,1.03499,0.77192,0.9552,0.82935,0.96585,0.90431,0.5983,1.24624,0.95727,1.17073,0.000973861,0.000973861,0.000973861
44,3335.84,1.03789,0.79785,1.01448,0.91368,0.96633,0.91424,0.60136,1.22196,0.77716,1.16472,0.000957358,0.000957358,0.000957358
45,3386.86,1.05711,0.79845,0.98209,0.77907,0.9399,0.85911,0.55189,1.21164,1.10595,1.16526,0.000940855,0.000940855,0.000940855
46,3438.08,0.98566,0.73948,0.92853,0.86288,0.97962,0.91353,0.60307,1.24444,0.90524,1.1844,0.000924352,0.000924352,0.000924352
47,3493.25,1.03922,0.78417,0.9728,0.86778,0.94296,0.90146,0.60959,1.21155,0.90649,1.15546,0.000907848,0.000907848,0.000907848
48,3545.24,1.04333,0.77891,0.97421,0.88819,0.96201,0.91447,0.59891,1.21608,1.05342,1.16688,0.000891345,0.000891345,0.000891345
49,3596.23,0.99708,0.73512,0.97078,0.89915,0.98148,0.90312,0.61753,1.15272,1.02072,1.13764,0.000874842,0.000874842,0.000874842
50,3646.46,1.0162,0.76001,0.98271,0.91189,0.98148,0.93468,0.65163,1.14315,0.78115,1.13739,0.000858338,0.000858338,0.000858338
51,3697.29,1.00821,0.71222,0.96329,0.8931,0.9635,0.94668,0.65,1.16276,0.79917,1.1428,0.000841835,0.000841835,0.000841835
52,3747.62,1.06263,0.71535,0.96583,0.90623,0.96633,0.94886,0.62959,1.25124,0.77706,1.18026,0.000825332,0.000825332,0.000825332
53,3798.21,0.98726,0.70445,0.94874,0.89567,0.96633,0.95296,0.63321,1.21277,0.76152,1.16957,0.000808828,0.000808828,0.000808828
54,3847.43,0.97092,0.74833,0.94641,0.9403,0.93033,0.96346,0.64121,1.22914,0.75015,1.17624,0.000792325,0.000792325,0.000792325
55,3899.58,0.97079,0.73668,0.91519,0.87857,0.94487,0.92578,0.63245,1.1505,0.79981,1.12844,0.000775822,0.000775822,0.000775822
56,3948.84,0.97362,0.73807,0.95657,0.92598,0.94781,0.9338,0.62358,1.19311,0.81699,1.16259,0.000759318,0.000759318,0.000759318
57,3999.21,0.98138,0.66742,0.92949,0.83665,0.96633,0.87326,0.60064,1.12925,0.87609,1.12258,0.000742815,0.000742815,0.000742815
58,4050,0.96215,0.73156,0.94567,0.80284,0.93266,0.85013,0.57966,1.16899,1.06994,1.1277,0.000726312,0.000726312,0.000726312
59,4101.82,0.94556,0.69086,0.94581,0.85725,0.96296,0.88557,0.59938,1.17901,0.94704,1.14472,0.000709809,0.000709809,0.000709809
60,4155.26,0.92666,0.67604,0.91313,0.91202,0.95645,0.93614,0.64415,1.17286,0.80723,1.14126,0.000693305,0.000693305,0.000693305
61,4206.57,0.95149,0.68306,0.94654,0.88125,0.96102,0.92722,0.63827,1.1505,0.7448,1.13985,0.000676802,0.000676802,0.000676802
62,4256.34,0.98067,0.6764,0.97498,0.90419,0.96278,0.93491,0.64005,1.16313,0.83141,1.12281,0.000660299,0.000660299,0.000660299
63,4309.98,0.98497,0.68074,0.96316,0.89375,0.97674,0.92845,0.63998,1.14017,0.87019,1.14879,0.000643795,0.000643795,0.000643795
64,4367.66,0.98184,0.71316,0.98444,0.89278,0.96633,0.90217,0.6376,1.15712,0.91948,1.12466,0.000627292,0.000627292,0.000627292
65,4419.52,1.05901,0.77116,1.01659,0.87713,0.93896,0.89548,0.62395,1.13149,0.97461,1.11717,0.000610789,0.000610789,0.000610789
66,4470.33,0.92058,0.67529,0.95016,0.92969,0.96748,0.95446,0.68661,1.11368,0.74296,1.10932,0.000594286,0.000594286,0.000594286
67,4520.65,0.90478,0.63903,0.89234,0.93698,0.96616,0.97406,0.68574,1.14234,0.69009,1.12514,0.000577782,0.000577782,0.000577782
68,4571.55,0.90865,0.61151,0.90924,0.91793,0.98148,0.9259,0.63072,1.14429,0.88085,1.1103,0.000561279,0.000561279,0.000561279
69,4624.51,0.91832,0.66366,0.92543,0.96426,0.96807,0.97011,0.67085,1.11504,0.80413,1.11024,0.000544776,0.000544776,0.000544776
70,4674.28,0.96811,0.70668,0.94532,0.92983,0.97909,0.9712,0.6834,1.11959,0.75671,1.12294,0.000528272,0.000528272,0.000528272
71,4724.76,0.94641,0.65379,0.96299,0.87648,0.9801,0.9632,0.66967,1.15316,0.75673,1.11434,0.000511769,0.000511769,0.000511769
72,4775.78,0.88757,0.62902,0.90312,0.9297,0.97478,0.96911,0.67706,1.14738,0.72908,1.12608,0.000495266,0.000495266,0.000495266
73,4825.87,0.92747,0.61861,0.91995,0.92154,0.96633,0.95651,0.66696,1.17879,0.72181,1.11053,0.000478762,0.000478762,0.000478762
74,4879.08,0.89578,0.60344,0.91732,0.91631,0.98148,0.94306,0.65172,1.1669,0.71494,1.1233,0.000462259,0.000462259,0.000462259
75,4930.27,0.89911,0.59841,0.90638,0.93208,0.98148,0.95712,0.67283,1.16972,0.81199,1.10453,0.000445756,0.000445756,0.000445756
76,4984.29,0.91203,0.60641,0.94635,0.94958,0.97446,0.97535,0.67826,1.17198,0.80704,1.11587,0.000429253,0.000429253,0.000429253
77,5035.46,0.87626,0.59467,0.91212,0.9329,0.96758,0.9443,0.66095,1.15873,0.77971,1.12253,0.000412749,0.000412749,0.000412749
78,5085.85,0.89103,0.5997,0.91407,0.91593,0.97314,0.94813,0.66633,1.13025,0.76508,1.11279,0.000396246,0.000396246,0.000396246
79,5139.81,0.86662,0.57838,0.882,0.96013,0.94781,0.9756,0.67803,1.14436,0.73347,1.11614,0.000379743,0.000379743,0.000379743
80,5190.97,0.90692,0.57893,0.9157,0.96006,0.96633,0.9581,0.68944,1.11633,0.7159,1.09105,0.000363239,0.000363239,0.000363239
81,5243.42,0.90678,0.6018,0.90823,0.95372,0.96633,0.96453,0.69041,1.11389,0.72643,1.08814,0.000346736,0.000346736,0.000346736
82,5295.87,0.80861,0.56465,0.89033,0.94767,0.97386,0.97231,0.6963,1.08861,0.76676,1.09442,0.000330233,0.000330233,0.000330233
83,5350.06,0.90172,0.59831,0.90907,0.97419,0.96504,0.97092,0.70089,1.10295,0.72764,1.0996,0.000313729,0.000313729,0.000313729
84,5410.22,0.85858,0.56535,0.8762,0.96721,0.96633,0.97019,0.68987,1.11109,0.69837,1.10598,0.000297226,0.000297226,0.000297226
85,5467.63,0.86751,0.61359,0.92698,0.9744,0.96633,0.97113,0.69162,1.11679,0.67832,1.10695,0.000280723,0.000280723,0.000280723
86,5525.71,0.86514,0.57594,0.88834,0.9517,0.96746,0.97019,0.69643,1.12214,0.71025,1.0979,0.00026422,0.00026422,0.00026422
87,5575.81,0.83683,0.57027,0.85434,0.94593,0.96633,0.95513,0.666,1.14947,0.71029,1.11236,0.000247716,0.000247716,0.000247716
88,5624.22,0.83861,0.57904,0.91487,0.92799,0.96715,0.95841,0.68578,1.10704,0.74753,1.09406,0.000231213,0.000231213,0.000231213
89,5672.66,0.8634,0.56571,0.89796,0.96276,0.97587,0.97538,0.70505,1.09464,0.76566,1.0902,0.00021471,0.00021471,0.00021471
90,5720.97,0.78426,0.58314,0.87427,0.96805,0.97857,0.97662,0.69907,1.08555,0.76337,1.09062,0.000198206,0.000198206,0.000198206
91,5769.09,0.88832,0.55372,0.96913,0.95463,0.97947,0.96304,0.70799,1.05279,0.75978,1.07207,0.000181703,0.000181703,0.000181703
92,5816.85,0.8473,0.51871,0.94988,0.9527,0.97867,0.96197,0.70005,1.06113,0.72901,1.07284,0.0001652,0.0001652,0.0001652
93,5867.27,0.84164,0.4988,0.95661,0.96632,0.9746,0.97378,0.70318,1.06976,0.77497,1.08121,0.000148696,0.000148696,0.000148696
94,5917.93,0.85624,0.50718,0.96525,0.96982,0.97962,0.98188,0.70755,1.06272,0.77023,1.07444,0.000132193,0.000132193,0.000132193
