epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1174.53,1.89762,2.61536,1.11669,0.34302,0.59707,0.40512,0.22176,1.50852,1.7762,1.0697,0.000208196,0.000208196,0.000208196
2,1912.68,1.6423,1.59398,1.05132,0.57458,0.71312,0.63706,0.36598,1.45046,1.48369,1.0638,0.000412405,0.000412405,0.000412405
3,2618.75,1.58146,1.36856,1.03323,0.6848,0.76858,0.75545,0.43197,1.42927,1.26272,1.05093,0.00061249,0.00061249,0.00061249
4,3362.23,1.53086,1.23281,1.02096,0.73761,0.79009,0.8118,0.49642,1.35387,1.12614,1.03049,0.000606437,0.000606437,0.000606437
5,4118.25,1.50781,1.15217,1.01297,0.78563,0.81944,0.85814,0.53463,1.32547,1.00263,1.02033,0.00060025,0.00060025,0.00060025
6,4857.73,1.47003,1.08439,1.004,0.80661,0.83317,0.88208,0.55278,1.31796,0.93524,1.01429,0.000594062,0.000594062,0.000594062
7,5649.23,1.46244,1.03906,0.99809,0.84011,0.83974,0.90103,0.5687,1.31049,0.89296,1.01061,0.000587875,0.000587875,0.000587875
8,6634.43,1.44054,1.01304,0.99433,0.8392,0.85088,0.90985,0.57468,1.29702,0.86553,1.01611,0.000581687,0.000581687,0.000581687
9,7698.69,1.44022,0.98404,0.99463,0.85949,0.85915,0.92589,0.59502,1.27746,0.811,1.00414,0.0005755,0.0005755,0.0005755
10,8563.07,1.41823,0.94388,0.98953,0.87408,0.86428,0.93183,0.59808,1.27876,0.78092,1.00729,0.000569313,0.000569313,0.000569313
11,9273.03,1.40712,0.9315,0.98438,0.88716,0.87782,0.93848,0.60533,1.25982,0.755,0.99208,0.000563125,0.000563125,0.000563125
12,9931.66,1.39204,0.90812,0.98159,0.89567,0.87934,0.9436,0.61432,1.24225,0.73353,0.99086,0.000556938,0.000556938,0.000556938
13,10625.8,1.38303,0.88759,0.98159,0.89099,0.88424,0.94663,0.60942,1.27647,0.73449,1.00577,0.00055075,0.00055075,0.00055075
14,11282.2,1.38547,0.8767,0.97696,0.89806,0.88802,0.94844,0.62161,1.23606,0.71157,0.98742,0.000544563,0.000544563,0.000544563
15,11932.4,1.37785,0.85946,0.97786,0.90604,0.8851,0.95197,0.62519,1.23308,0.70483,0.98231,0.000538375,0.000538375,0.000538375
16,12577.3,1.36302,0.84421,0.9725,0.89573,0.89303,0.95015,0.62527,1.21695,0.68266,0.984,0.000532187,0.000532187,0.000532187
17,13225,1.35416,0.8318,0.96958,0.91886,0.90483,0.96216,0.63687,1.21867,0.66068,0.98305,0.000526,0.000526,0.000526
18,13873,1.3494,0.83586,0.97101,0.90804,0.89043,0.95409,0.633,1.19977,0.67445,0.97771,0.000519812,0.000519812,0.000519812
19,14526.1,1.34348,0.82599,0.96973,0.91577,0.90556,0.96065,0.63466,1.22898,0.67067,0.98391,0.000513625,0.000513625,0.000513625
20,15379.7,1.3347,0.80969,0.96918,0.92379,0.90819,0.96342,0.65173,1.1789,0.63316,0.97004,0.000507438,0.000507438,0.000507438
21,16436.2,1.32905,0.79853,0.96665,0.92147,0.90885,0.96371,0.65356,1.17256,0.63617,0.97013,0.00050125,0.00050125,0.00050125
22,17512.2,1.32412,0.79801,0.96378,0.92133,0.90921,0.96542,0.66307,1.14791,0.62988,0.96334,0.000495063,0.000495063,0.000495063
23,18615.2,1.31231,0.78822,0.96023,0.91591,0.90237,0.96011,0.64899,1.16933,0.64499,0.96766,0.000488875,0.000488875,0.000488875
24,19530.2,1.30112,0.78084,0.95845,0.92292,0.91431,0.96607,0.67017,1.13835,0.61644,0.9619,0.000482687,0.000482687,0.000482687
25,20267.1,1.29548,0.77048,0.96,0.92275,0.90066,0.96197,0.66668,1.12288,0.62859,0.95607,0.0004765,0.0004765,0.0004765
26,20990.5,1.29095,0.76332,0.95627,0.93258,0.91465,0.96913,0.68255,1.10477,0.59745,0.95318,0.000470312,0.000470312,0.000470312
27,21715.2,1.28591,0.75761,0.95198,0.9315,0.91088,0.96694,0.68007,1.10174,0.60026,0.94882,0.000464125,0.000464125,0.000464125
28,22449.8,1.27823,0.75296,0.95131,0.93258,0.91289,0.96876,0.6815,1.1022,0.59111,0.94657,0.000457938,0.000457938,0.000457938
29,23104.9,1.26932,0.75089,0.94771,0.93525,0.91996,0.9722,0.69606,1.07159,0.57315,0.93905,0.00045175,0.00045175,0.00045175
30,23755.4,1.26326,0.74555,0.94982,0.93385,0.92612,0.97281,0.69686,1.06078,0.56405,0.93523,0.000445562,0.000445562,0.000445562
31,24406.4,1.25484,0.73701,0.94406,0.93413,0.92359,0.97254,0.69516,1.07853,0.57485,0.94004,0.000439375,0.000439375,0.000439375
32,25058.1,1.24636,0.73358,0.94156,0.93479,0.92182,0.97227,0.69391,1.07295,0.5715,0.93742,0.000433187,0.000433187,0.000433187
33,25707.9,1.24133,0.72858,0.94564,0.93855,0.92064,0.973,0.7005,1.05062,0.55834,0.93119,0.000427,0.000427,0.000427
34,26362.1,1.23745,0.7211,0.94096,0.94053,0.91998,0.97367,0.69714,1.06177,0.56448,0.93711,0.000420812,0.000420812,0.000420812
35,27009.5,1.22768,0.71283,0.94118,0.94177,0.92922,0.97499,0.69837,1.05537,0.54917,0.9339,0.000414625,0.000414625,0.000414625
36,27656.9,1.22054,0.70502,0.93599,0.9438,0.93063,0.97776,0.70327,1.05084,0.54409,0.9323,0.000408438,0.000408438,0.000408438
37,28305.8,1.21845,0.70297,0.93638,0.93802,0.91947,0.97076,0.68772,1.07518,0.55874,0.94302,0.00040225,0.00040225,0.00040225
38,28955.4,1.20858,0.69629,0.93578,0.94321,0.93247,0.97667,0.70351,1.04314,0.536,0.92996,0.000396063,0.000396063,0.000396063
39,29612.3,1.21153,0.70254,0.93826,0.94992,0.93441,0.9782,0.71339,1.02867,0.52959,0.92674,0.000389875,0.000389875,0.000389875
40,30261.1,1.20738,0.69076,0.93372,0.94611,0.94046,0.97992,0.71394,1.03181,0.52408,0.92773,0.000383688,0.000383688,0.000383688
41,30925.8,1.20081,0.68927,0.93653,0.94923,0.93635,0.97919,0.71421,1.02925,0.52624,0.92577,0.0003775,0.0003775,0.0003775
42,31577.3,1.19729,0.68566,0.93099,0.9494,0.94172,0.98069,0.71582,1.0257,0.5186,0.92648,0.000371313,0.000371313,0.000371313
43,32229.2,1.19261,0.67897,0.93081,0.94818,0.93593,0.97946,0.71479,1.02103,0.51877,0.92188,0.000365125,0.000365125,0.000365125
44,32881.3,1.18898,0.67757,0.9324,0.94968,0.93652,0.97891,0.70637,1.02814,0.52297,0.92541,0.000358938,0.000358938,0.000358938
45,33535.3,1.18346,0.67121,0.92868,0.94804,0.9407,0.97945,0.70957,1.02355,0.51439,0.92277,0.00035275,0.00035275,0.00035275
46,34186.4,1.18397,0.6737,0.93031,0.9505,0.94226,0.9824,0.72345,1.0006,0.50284,0.91838,0.000346563,0.000346563,0.000346563
47,34834.3,1.17988,0.66493,0.9282,0.95116,0.94175,0.98099,0.71568,1.01634,0.50963,0.92511,0.000340375,0.000340375,0.000340375
48,35484,1.17516,0.6609,0.92593,0.95671,0.94062,0.98194,0.71968,1.00798,0.50019,0.92151,0.000334188,0.000334188,0.000334188
49,36134.9,1.17372,0.6657,0.92318,0.95542,0.94003,0.98224,0.72015,1.01046,0.50424,0.92266,0.000328,0.000328,0.000328
50,36791.3,1.16951,0.65912,0.92826,0.95481,0.94104,0.9819,0.71925,1.00414,0.49752,0.92077,0.000321812,0.000321812,0.000321812
51,37441.6,1.16032,0.65381,0.9234,0.95725,0.94444,0.98306,0.72185,1.00546,0.49094,0.92139,0.000315625,0.000315625,0.000315625
52,38091.5,1.16182,0.65265,0.92595,0.95684,0.94795,0.98337,0.72503,0.99192,0.49276,0.91718,0.000309437,0.000309437,0.000309437
53,38739.4,1.15806,0.65013,0.92398,0.95649,0.94903,0.98367,0.72847,0.98776,0.48539,0.91541,0.00030325,0.00030325,0.00030325
54,39391.3,1.14515,0.64726,0.91756,0.95878,0.95084,0.98486,0.73206,0.98018,0.48083,0.91232,0.000297063,0.000297063,0.000297063
55,40040,1.15122,0.64216,0.92046,0.96265,0.94911,0.98484,0.73089,0.98676,0.47844,0.91448,0.000290875,0.000290875,0.000290875
56,40690,1.14902,0.64557,0.92077,0.96152,0.94795,0.98403,0.73107,0.97994,0.4793,0.9133,0.000284688,0.000284688,0.000284688
57,41332.2,1.14478,0.64002,0.91851,0.96112,0.95138,0.98547,0.73441,0.97777,0.47765,0.91402,0.0002785,0.0002785,0.0002785
58,41975,1.13924,0.62925,0.91884,0.96311,0.95356,0.98616,0.7392,0.97347,0.46996,0.91259,0.000272313,0.000272313,0.000272313
59,42619.5,1.13498,0.62506,0.91885,0.96302,0.95225,0.98624,0.74074,0.97126,0.47016,0.91226,0.000266125,0.000266125,0.000266125
60,43260,1.14083,0.63189,0.91949,0.96035,0.95421,0.98543,0.73591,0.97562,0.47143,0.91236,0.000259938,0.000259938,0.000259938
61,43904.8,1.12598,0.62237,0.91715,0.9647,0.95099,0.98572,0.73673,0.97636,0.47012,0.91185,0.00025375,0.00025375,0.00025375
62,44545.8,1.13279,0.62533,0.9145,0.96218,0.95535,0.98608,0.73657,0.97301,0.4686,0.91183,0.000247563,0.000247563,0.000247563
63,45188.8,1.12698,0.62338,0.91719,0.96157,0.95509,0.98548,0.73364,0.97789,0.46495,0.91397,0.000241375,0.000241375,0.000241375
64,45835.3,1.12716,0.62359,0.91554,0.96431,0.95321,0.98642,0.73803,0.96819,0.4637,0.91036,0.000235188,0.000235188,0.000235188
